match_file,tournament,team_a,team_b,date,team_a_prev_matches_played,team_a_prev_matches_won,team_a_prev_win_rate,team_a_prev_sets_won,team_a_prev_sets_lost,team_a_prev_set_win_rate,team_a_prev_avg_points_scored,team_a_prev_avg_points_conceded,team_b_prev_matches_played,team_b_prev_matches_won,team_b_prev_win_rate,team_b_prev_sets_won,team_b_prev_sets_lost,team_b_prev_set_win_rate,team_b_prev_avg_points_scored,team_b_prev_avg_points_conceded,h2h_matches,h2h_team_a_wins,team_a_won
PVL2025B-W05-GTH-CMF-XML.xml,PVLOT25,GTH,CMF,20250628,5,1,0.2,3,12,0.2,58.8,68.8,9,8,0.8888888888888888,26,13,0.6666666666666666,94.0,87.77777777777777,0,0,0
PVL2023B-W14-GFDvCTC-XML.xml,PVLINV23,GFD,CTC,20230713,1,0,0.0,0,3,0.0,43.0,75.0,6,1,0.16666666666666666,7,15,0.3181818181818182,77.16666666666667,86.66666666666667,0,0,0
PVL2025A-W24-PGA-AKA-XML.xml,PVLAF25,PGA,AKA,20241205,4,4,1.0,12,2,0.8571428571428571,88.75,74.5,6,2,0.3333333333333333,8,15,0.34782608695652173,78.0,90.5,0,0,1
PVL2023A-W16-HSHvCTC-XML.xml,PVLF23,HSH,CTC,20230221,2,1,0.5,5,5,0.5,106.5,105.5,7,2,0.2857142857142857,10,15,0.4,76.85714285714286,82.42857142857143,0,0,1
PVL2023B-W35-HSHvVIE-XML.xml,PVLINV23,HSH,VIE,20230724,3,2,0.6666666666666666,8,5,0.6153846153846154,96.66666666666667,90.33333333333333,1,0,0.0,0,3,0.0,63.0,75.0,0,0,1
PVL2025D-W30-NXL-HSH-XML.xml,TEST_PVLR25,NXL,HSH,20251031,3,2,0.6666666666666666,6,3,0.6666666666666666,67.66666666666667,67.33333333333333,4,3,0.75,11,5,0.6875,91.25,82.75,0,0,0
PVL2024A-M64-AKA-SGA-XML.xml,PVLALL24,AKA,SGA,20240427,7,2,0.2857142857142857,8,18,0.3076923076923077,77.0,89.28571428571429,2,0,0.0,0,6,0.0,41.0,75.0,0,0,1
PVL2025D-W31-CCS-NXL-XML.xml,TEST_PVLR25,CCS,NXL,20251106,15,11,0.7333333333333333,39,17,0.6964285714285714,89.6,77.13333333333334,4,2,0.5,6,6,0.5,66.5,69.25,0,0,1
PVL2023B-W34-JPNvCHD-XML.xml,PVLINV23,JPN,CHD,20230724,0,0,0.5,0,0,0.5,0.0,0.0,9,6,0.6666666666666666,20,13,0.6060606060606061,83.22222222222223,72.66666666666667,0,0,1
PVLAFC2023-M39-FFFvGFD-XML_111423.xml,PVLALL23,FFF,GFD,20231114,6,0,0.0,5,18,0.21739130434782608,78.5,92.16666666666667,2,0,0.0,0,6,0.0,50.0,75.0,0,0,1
PVL2024B-W14-CCS-NXL-XML.xml,PVLR24,CCS,NXL,20240725,16,12,0.75,42,18,0.7,89.9375,76.8125,5,2,0.4,7,9,0.4375,67.6,74.4,0,0,1
PVL2025A-W47-CAP-AKA-XML.xml,PVLAF25,CAP,AKA,20250201,0,0,0.5,0,0,0.5,0.0,0.0,8,3,0.375,11,18,0.3793103448275862,76.75,83.0,0,0,0
PVL2024A-M50-GTH-FFF-XML.xml,PVLALL24,GTH,FFF,20240413,6,1,0.16666666666666666,4,15,0.21052631578947367,63.333333333333336,72.0,7,1,0.14285714285714285,8,18,0.3076923076923077,78.0,86.0,0,0,1
