match_id,team_a_id,team_b_id,tournament_id,team_a_elo,team_b_elo,elo_diff,elo_prob_team_a,team_a_matches_played,team_a_win_rate,team_a_avg_points,team_a_avg_attack,team_a_avg_block,team_a_avg_serve,team_b_matches_played,team_b_win_rate,team_b_avg_points,team_b_avg_attack,team_b_avg_block,team_b_avg_serve,team_a_starter_attack,team_a_starter_block,team_a_starter_serve,team_a_top_scorer,team_a_libero_digs,team_a_libero_reception,team_a_roster_depth,team_a_avg_sets_per_player,team_a_10plus_scorers,team_b_starter_attack,team_b_starter_block,team_b_starter_serve,team_b_top_scorer,team_b_libero_digs,team_b_libero_reception,team_b_roster_depth,team_b_avg_sets_per_player,team_b_10plus_scorers,team_a_wins
61,19,16,2,1471.8913283524168,1587.4190711431816,-115.5277427907647,0.3396103416245816,3,0.0,76.0,50.333333333333336,5.333333333333333,1.6666666666666667,12,1.8333333333333333,93.16666666666667,54.25,10.083333333333334,3.75,3.5945945945945947,0.40540540540540543,0.10810810810810811,47,1.0810810810810811,1.135135135135135,23,3.108108108108108,5,4.242647058823529,0.7647058823529411,0.2867647058823529,25,1.7352941176470589,0.875,22,3.3455882352941178,24,1
62,2,1,3,1545.4796601929243,1586.9697430881733,-41.49008289524909,0.4405731915627284,7,1.7142857142857142,90.85714285714286,57.0,8.428571428571429,3.857142857142857,18,1.5555555555555556,89.83333333333333,56.5,9.0,5.722222222222222,4.518072289156627,0.6867469879518072,0.27710843373493976,19,1.0963855421686748,0.8674698795180723,23,2.8072289156626504,19,4.224770642201835,0.6330275229357798,0.43577981651376146,26,1.2844036697247707,0.7477064220183486,25,3.0275229357798166,42,0
63,16,2,2,1574.2112779756733,1536.6681963616697,37.54308161400354,0.5538195265529798,13,1.6923076923076923,94.0,54.23076923076923,10.0,3.923076923076923,8,1.5,91.375,56.5,8.375,4.25,4.301369863013699,0.773972602739726,0.3082191780821918,25,1.7602739726027397,0.8698630136986302,22,3.4178082191780823,26,4.375,0.65625,0.3125,19,1.0729166666666667,0.8541666666666666,23,2.9895833333333335,21,0
64,15,11,4,1473.7940491883103,1521.49879207261,-47.704742884299776,0.4317755577284539,7,0.5714285714285714,65.0,37.285714285714285,4.285714285714286,4.571428571428571,13,1.2307692307692308,85.07692307692308,53.84615384615385,7.076923076923077,4.076923076923077,2.3076923076923075,0.26373626373626374,0.2857142857142857,16,1.1318681318681318,0.4065934065934066,20,2.4395604395604398,7,3.8238993710691824,0.5094339622641509,0.2830188679245283,37,1.509433962264151,0.6855345911949685,20,2.89937106918239,25,0
65,1,4,3,1595.7812069194279,1448.7599826997002,147.02122421972763,0.6997950709487264,19,1.5789473684210527,90.15789473684211,56.421052631578945,8.947368421052632,5.947368421052632,8,0.25,75.375,47.5,4.375,2.75,4.230434782608696,0.6304347826086957,0.45652173913043476,26,1.2869565217391303,0.7869565217391304,25,3.0695652173913044,45,3.1485148514851486,0.25742574257425743,0.12871287128712872,30,1.297029702970297,0.37623762376237624,21,2.801980198019802,11,1
66,3,10,7,1478.1154880025547,1527.7290403970437,-49.613552394489034,0.4290817509625657,11,0.7272727272727273,79.36363636363636,49.0,7.545454545454546,2.727272727272727,7,1.4285714285714286,90.14285714285714,58.142857142857146,7.714285714285714,3.4285714285714284,3.1357142857142857,0.4857142857142857,0.17142857142857143,31,1.1357142857142857,0.7857142857142857,24,2.8214285714285716,23,4.440476190476191,0.5357142857142857,0.21428571428571427,34,1.7023809523809523,0.9642857142857143,21,3.142857142857143,18,1
67,1,8,3,1601.7853055004534,1469.5358412827484,132.24946421770505,0.6816335485360818,20,1.6,89.5,55.7,8.9,6.0,3,0.0,82.66666666666667,48.666666666666664,7.333333333333333,4.0,4.135245901639344,0.6229508196721312,0.44672131147540983,26,1.2704918032786885,0.7622950819672131,25,3.0163934426229506,46,3.911764705882353,0.5588235294117647,0.29411764705882354,21,1.0,1.1176470588235294,19,3.323529411764706,7,1
68,11,8,8,1530.134303227179,1463.16851225347,66.96579097370909,0.5951955943506122,14,1.2857142857142858,86.07142857142857,54.214285714285715,7.0,4.357142857142857,4,0.0,90.5,53.0,8.25,4.0,3.8488372093023258,0.5058139534883721,0.29651162790697677,37,1.4767441860465116,0.686046511627907,20,2.9069767441860463,28,3.9782608695652173,0.5434782608695652,0.2608695652173913,21,1.065217391304348,0.9565217391304348,20,3.5217391304347827,11,1
69,2,20,6,1547.7445868927293,1500.0,47.74458689272933,0.5682807139523988,9,1.5555555555555556,89.55555555555556,55.888888888888886,7.777777777777778,4.333333333333333,0,0.5,0.0,0.0,0.0,0.0,4.401869158878505,0.616822429906542,0.32710280373831774,19,1.074766355140187,0.7757009345794392,23,2.953271028037383,24,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1
70,11,2,4,1538.2303913401668,1556.3789726136813,-18.148581273514537,0.4739058211023347,15,1.3333333333333333,86.73333333333333,55.333333333333336,7.133333333333334,4.133333333333334,10,1.6,90.3,56.8,7.7,4.5,3.967391304347826,0.5217391304347826,0.2826086956521739,37,1.4673913043478262,0.717391304347826,20,2.9130434782608696,30,4.391666666666667,0.6,0.3416666666666667,19,1.1083333333333334,0.8083333333333333,23,2.933333333333333,28,1
